id,danceability,energy,valence,mood
spotify:track:1dNGTCMHimoPSJj9fPtN5D,0.407,0.0132,0.212,Calm
spotify:track:6CWzmoxDJJdIJ5GImw0RHv,0.327,0.0145,0.126,Calm
spotify:track:1qrvZZeUyb4a5knmgTM9v1,0.362,0.0125,0.0887,Calm
spotify:track:3wchWA4OaMulFCpmmLmog1,0.422,0.0156,0.248,Calm
spotify:track:5VWbXmisFDNGzh1kcXouTR,0.464,0.0135,0.169,Calm
spotify:track:6xld6bFu5ST7nickcSK1lP,0.45,0.016,0.319,Calm
spotify:track:5tC7qnCutl9HLMAOeUaZxo,0.386,0.0124,0.107,Calm
spotify:track:3xdDoLDyvsMgyl1BwVaZ5E,0.383,0.0185,0.148,Calm
spotify:track:7yQvxdXqotBSRCAYOIOGVt,0.537,0.00685,0.174,Calm
spotify:track:3cuvXQjn74rLPC0jSVysUK,0.492,0.0158,0.322,Calm
spotify:track:5JVDIP9IBy6DJB6SVFTX5T,0.368,0.0105,0.255,Calm
spotify:track:0TsKyZ33N0VP8ZXYgTXPUz,0.492,0.014,0.408,Calm
spotify:track:5rfMHAaZCA8ym79TN2GdbV,0.508,0.0526,0.674,Sad
spotify:track:52KuODrja4LIiMh1a8pOBd,0.442,0.019,0.231,Calm
spotify:track:79V5WPD3ZmojHUlRIhD2FG,0.431,0.0203,0.266,Calm
spotify:track:3pfjdDVdlQzUjJaw75NvhE,0.366,0.0161,0.232,Calm
spotify:track:4fv0GOcz0wbPcPR0CjILUg,0.417,0.00841,0.329,Calm
spotify:track:6SMHndqVp9ZdGmvzQu23ob,0.347,0.0185,0.282,Calm
spotify:track:6GRjlkZ7MxKtRC4jsJzQxv,0.513,0.0144,0.244,Calm
spotify:track:0jFnlaavbGTER2XNnUztEF,0.498,0.0271,0.226,Calm
spotify:track:6yhkANlWR9KWT75aAqXmGm,0.362,0.0315,0.0757,Calm
spotify:track:1mKHZDWICROPP1gmOg1mn2,0.496,0.0117,0.234,Calm
spotify:track:6fHq66kBS2OJiWu3ZGNZj9,0.462,0.0298,0.161,Calm
spotify:track:6brQG7CUofzdsnNx3qssrh,0.498,0.0355,0.222,Calm
spotify:track:391l8re8aew1rvyNOXUYDD,0.393,0.0156,0.354,Calm
spotify:track:3IwddX0zjnQ7am17WdP66M,0.364,0.00778,0.0917,Calm
spotify:track:4fG5KccAJKYk1EguGbGKt0,0.525,0.0045,0.207,Calm
spotify:track:3ANR14gcrMm6asGMNVhivt,0.624,0.042,0.594,Sad
spotify:track:6MTI6CKlLOZapPzdT4zJLH,0.442,0.0254,0.188,Calm
spotify:track:3eGygw8GYEYWknt1JeZAQ1,0.307,0.0414,0.263,Calm
spotify:track:2bjQvSk5T3A2dmnqqeRhzI,0.307,0.0381,0.0631,Calm
spotify:track:47Dbe09uprsTUFezKfy594,0.395,0.0116,0.172,Calm
spotify:track:2BbH50TRv9Qel8dnaE06wm,0.468,0.0598,0.647,Sad
spotify:track:6Xk5TR63iO5EAYfgi4Hjtl,0.368,0.0385,0.136,Calm
spotify:track:4QfPxrgEAfWt0DEjrR1CXw,0.513,0.0257,0.285,Calm
spotify:track:58S5x2FRM1xU8Ufe2g0a2G,0.408,0.0322,0.301,Calm
spotify:track:5LmaeC0bRQqaHtK781KOhD,0.454,0.0299,0.413,Calm
spotify:track:0X3mDFl8poPzyNQmrTe9fr,0.383,0.0143,0.183,Calm
spotify:track:3xZBHTUT1gLAmDbPz77ETo,0.47,0.0243,0.331,Calm
spotify:track:7IrrIzxSk3OO48hW6dpEus,0.363,0.0746,0.304,Calm
spotify:track:7iTKgLh1OzQHw1TwYFSMGa,0.398,0.00578,0.27,Calm
spotify:track:7J9IGMMsPyzWh2trBv6OQT,0.487,0.0655,0.768,Sad
spotify:track:4QB9QRh9xUuqKTXX9JBqyZ,0.532,0.0378,0.196,Calm
spotify:track:5jJodZ6zXjMdAgumEyVKb1,0.386,0.0254,0.165,Calm
spotify:track:6cq7PaFrHOyOVzNyFBTCoX,0.62,0.0217,0.468,Sad
spotify:track:3JWltf5Em6j7uhJhSNFneD,0.503,0.0222,0.341,Calm
spotify:track:61PEtXxbmpaVQDRNxcE0IJ,0.322,0.0203,0.145,Calm
spotify:track:38GNL3kBcQafMTKT5tom7c,0.495,0.0113,0.144,Calm
spotify:track:597H3V2av5dnxNcIDa4Yrk,0.344,0.0893,0.178,Calm
spotify:track:04i9TIi97Aoh1xjrCCM0aI,0.378,0.0682,0.344,Calm
spotify:track:4zLErnaWoRXh91YcWZ2LKy,0.418,0.0373,0.135,Calm
spotify:track:5cm73dj9ydNYALjjUOVPhu,0.396,0.0424,0.166,Calm
